"variable","nonmissing","missing","missing_percent"
"weight",20103,0,0
"stratum",20103,0,0
"psu",20103,0,0
"q2",19945,158,0.785952345421081
"q3",19910,193,0.96005571307765
"raceeth",19733,370,1.84052131522658
"q27",19667,436,2.16883052280754
"q28",18366,1737,8.64050141769885
"q29",19336,767,3.81535094264538
"q20",15752,4351,21.643535790678
"q24",19902,201,0.999850768542009
"q25",19898,205,1.01974829627419
"q26",19863,240,1.19385166393076
"q43",15441,4662,23.1905685718549
"q46",16603,3500,17.4103367656569
"q84",15705,4398,21.8773317415311
"q85",17441,2662,13.2418047057653
"q86",14541,5562,27.6675123115953
"q99",15750,4353,21.6534845545441
"q100",13227,6876,34.2038501716162
"q101",13305,6798,33.8158483808387
"q103",11177,8926,44.4013331343581
"q104",10850,9253,46.0279560264637
"QN27",19667,436,2.16883052280754
"QN28",18366,1737,8.64050141769885
"QN29",19336,767,3.81535094264538
