"group","category","outcome","n","percent","lower","upper"
"Overall","All","Seriously considered",19667,20.4245022612893,18.6283574428429,22.2206470797357
"Sex","Female","Seriously considered",9662,27.0804979297063,24.6367828038376,29.524213055575
"Sex","Male","Seriously considered",9869,14.0635832424486,12.2813091129786,15.8458573719186
"Grade","9th grade","Seriously considered",5540,21.3460762075922,18.5416054248121,24.1505469903723
"Grade","10th grade","Seriously considered",5317,19.6947155171666,17.8369234765146,21.5525075578187
"Grade","11th grade","Seriously considered",4752,20.2452965255296,17.1293480207261,23.3612450303331
"Grade","12th grade","Seriously considered",3866,19.5034603060964,16.8377940454342,22.1691265667585
"Race/ethnicity","AI/AN, non-Hispanic","Seriously considered",1309,24.3728920086124,11.4576250320331,37.2881589851918
"Race/ethnicity","Asian, non-Hispanic","Seriously considered",976,14.3580219940281,11.5832207858498,17.1328232022064
"Race/ethnicity","Black, non-Hispanic","Seriously considered",1753,19.6325149512118,16.7110125406342,22.5540173617894
"Race/ethnicity","NH/PI, non-Hispanic","Seriously considered",104,16.1325814881034,0,35.8348854703739
"Race/ethnicity","White, non-Hispanic","Seriously considered",9547,22.0663125512048,19.6720083741205,24.4606167282891
"Race/ethnicity","Hispanic/Latino, any race","Seriously considered",3927,18.185130780355,16.1420826157924,20.2281789449177
"Race/ethnicity","Multiracial, non-Hispanic","Seriously considered",1775,21.5709593066501,16.8559264337782,26.2859921795221
"School bullying","Yes","Seriously considered",3977,41.9339499544795,38.3583695940787,45.5095303148802
"School bullying","No","Seriously considered",15572,14.958168993536,13.6032727168225,16.3130652702494
"Electronic bullying","Yes","Seriously considered",3365,46.3027253848158,41.5130235948582,51.0924271747734
"Electronic bullying","No","Seriously considered",16162,15.2000097956887,13.9490301115995,16.4509894797779
"Sexual violence, past year","One or more times","Seriously considered",1812,48.6301471582608,44.8530179724438,52.4072763440778
"Sexual violence, past year","Zero times","Seriously considered",13773,15.4552214085417,14.236994108278,16.6734487088054
"Sad or hopeless","Yes","Seriously considered",7943,44.6653592771446,41.9619923928494,47.3687261614398
"Sad or hopeless","No","Seriously considered",11574,4.54366896595432,3.85856406762773,5.2287738642809
"Poor mental health, past 30 days","Most/always","Seriously considered",4725,45.0073174917154,42.0555230132966,47.9591119701342
"Poor mental health, past 30 days","Never/rarely/sometimes","Seriously considered",10705,10.5339525417365,8.21579186927545,12.8521132141975
"Binge drinking, past 30 days","One or more days","Seriously considered",1409,35.9237340077618,30.9500616146304,40.8974064008933
"Binge drinking, past 30 days","Zero days","Seriously considered",13713,18.2539772028995,16.4442123298273,20.0637420759717
"Ever used marijuana","Yes","Seriously considered",5123,33.6178727909688,31.2231340678082,36.0126115141293
